,Q1,Q2,EN,SN,FN,F,M,Q3,sim_status,final_neck_diameter,MAPE
26,1.161114976,1.080146275,0.366860576,0.127275963,0.078314114,0.001479031,1004.997076,1.348,failed,3.206139505,6.389030801
27,1.308524228,1.033787388,0.336682823,0.113587552,0.075894096,0.001436939,516.9996944,1.712,failed,3.272123516,38.84904346
28,0.970021963,1.014216142,0.373520089,0.188418361,0.055147331,0.001365984,1008.549715,0.94,failed,3.633285075,12.89667831
29,1.418946319,1.043439466,0.302191332,0.154323468,0.038610383,0.00131674,34.01907162,2.013,failed,3.167924523,40.65085129
30,0.958238552,0.997896298,0.300812594,0.160714424,0.040090945,0.001337764,751.240869,0.918,failed,2.710103869,16.62478502
31,0.988356761,1.015822994,0.369352579,0.198191897,0.035869214,0.001404704,325.6957143,0.976,failed,3.79173854,52.667768
32,1.126024071,0.998860909,0.337152848,0.192428512,0.088546231,0.001322963,875.4018678,1.267,failed,3.106394053,12.26545613
33,1.350049105,1.072715523,0.300577181,0.163130691,0.08817073,0.001307285,1041.451479,1.822,failed,3.637290746,16.96022952
34,1.599630211,0.939276988,0.275708516,0.119984764,0.070238298,0.001360262,813.8059466,2.558,failed,3.273943186,35.99202675
35,1.096701156,1.061764481,0.336886954,0.147792443,0.065090142,0.001316879,1038.314148,1.202,failed,3.633123875,13.02487415
36,1.307557254,1.052173762,0.382509579,0.107537283,0.064974879,0.001408885,1065.29867,1.709,failed,3.633025318,12.02776466
37,1.510820742,0.936335792,0.284824027,0.169504304,0.054618783,0.001376648,509.4657726,2.282,failed,3.178162515,39.80058126
38,1.452537453,1.025827546,0.389659783,0.196476148,0.089750299,0.001381141,545.2582643,2.109,failed,3.29947567,41.33586546
39,1.052661386,1.014732434,0.257752222,0.149265372,0.044124495,0.001464414,1061.429169,1.108,failed,3.297494411,6.803026185
40,1.142635492,1.084662156,0.277804539,0.160830151,0.082171631,0.001442246,452.7125791,1.305,failed,3.26109159,41.83250852
41,1.405050449,0.920920977,0.306260471,0.16357182,0.042605525,0.001410913,960.5875901,1.974,failed,3.633579284,14.99782859
42,1.147742862,1.016705016,0.397516043,0.183344525,0.061872305,0.001318526,128.7377755,1.317,failed,3.089506805,38.40351495
43,1.222479013,0.971545677,0.31625274,0.194277611,0.056173601,0.001343489,98.37786654,1.494,failed,3.786318749,55.35716273
44,1.071078361,1.029935852,0.377916852,0.148019277,0.054228763,0.001478386,1095.648934,1.147,failed,3.378410399,7.503930745
45,1.097864245,0.939616894,0.371681905,0.13752782,0.06562179,0.001437067,317.6773,1.205,failed,3.791842774,52.66254146
46,1.478397026,1.005089181,0.310567131,0.162503678,0.083228323,0.001324718,509.5459801,2.185,failed,3.307420969,42.09681956
47,1.512060215,1.06804929,0.271702975,0.137875379,0.085374035,0.001353799,248.0197001,2.286,failed,3.429208636,46.93452034
48,0.999938301,0.986585218,0.389018891,0.120834502,0.040976312,0.001366107,549.8352086,0.999,failed,2.771142364,29.30312651
49,1.09605028,0.971429093,0.295185109,0.170445281,0.034427049,0.00137764,66.56269984,1.201,failed,2.831622839,35.66093025
50,1.267618402,0.932656571,0.312493562,0.178925767,0.08740433,0.001419414,479.6108445,1.606,failed,3.176808417,40.50161387
51,1.530600575,0.946869193,0.304915643,0.193142129,0.05022215,0.001410115,554.3736676,2.342,failed,3.126215339,37.53593296
52,1.321719861,1.052390446,0.311971144,0.105762777,0.042985352,0.001416883,281.3352177,1.746,failed,3.792329296,52.67724638
53,1.384256983,0.915058626,0.378363645,0.135139565,0.050009023,0.001461016,536.2453948,1.916,failed,3.014961779,33.81840528
54,1.097816439,0.904950002,0.323915325,0.132830198,0.074633833,0.001324606,932.8043106,1.205,failed,2.924685597,4.418061172
55,1.093555235,0.915372173,0.379165306,0.191429357,0.043091536,0.001375785,586.7689504,1.195,failed,2.757749677,29.19083456
56,1.00940096,0.961122903,0.330139482,0.186029421,0.044254223,0.001368064,1041.52278,1.018,failed,3.633377641,12.38194211
57,1.364651887,0.958463583,0.273260116,0.177428887,0.068879133,0.001347289,250.9941724,1.862,failed,3.190742075,41.86630531
58,1.559965933,1.027952876,0.342054438,0.119587556,0.052610672,0.001424249,943.9322319,2.433,failed,3.210956216,7.994407168
59,1.376925045,1.025359157,0.289043302,0.119853134,0.060773791,0.001301193,126.3358772,1.895,failed,3.787887067,55.32975315
60,1.504087916,1.003937821,0.326408716,0.194088094,0.032950878,0.001430869,68.80767881,2.262,failed,3.793108106,53.35495641
61,1.538054613,0.96490141,0.386331763,0.11431333,0.057828483,0.001308212,271.9272936,2.365,failed,3.793328926,52.46885358
62,1.470738338,0.990939246,0.299437921,0.134339934,0.07838973,0.001335118,519.2125095,2.163,failed,3.788512677,55.38578135
63,1.480823505,1.068607016,0.317336357,0.107688507,0.035249169,0.001321258,664.6196504,2.192,failed,3.150241613,32.83962797
64,0.918967935,1.057044778,0.385359364,0.134294326,0.049852203,0.001384404,715.129669,0.844,failed,2.858950377,18.71677925
65,1.068663424,0.975521159,0.303491462,0.100140045,0.036761199,0.001340635,264.2218984,1.142,failed,3.792750329,52.63988164
66,1.086428767,1.042251188,0.27133521,0.12226195,0.077332337,0.001365949,310.5366203,1.18,failed,3.188152552,41.0782377
67,1.166147987,1.099631016,0.253552089,0.169484166,0.034355021,0.0014229,789.121597,1.359,failed,2.973589778,15.87517317
68,1.235476187,1.051726395,0.34532453,0.137508661,0.079366519,0.001357717,182.3344845,1.526,failed,3.274162412,41.72024995
69,1.124993367,0.953134287,0.372498461,0.198995624,0.044944992,0.001427369,632.0143537,1.265,failed,2.839458823,29.01890512
70,1.205939413,1.023322251,0.393244417,0.161335577,0.082565716,0.00141343,543.06078,1.454,failed,3.184544742,36.90454862
71,1.290788422,1.001455701,0.366088657,0.132151261,0.045605242,0.001379111,806.5301623,1.666,failed,3.002423525,9.630058949
72,1.175555344,1.089130479,0.310043656,0.162696949,0.034107044,0.001436402,514.8765023,1.381,failed,3.030357957,34.63424921
73,1.30478401,1.073901727,0.301954989,0.162366985,0.04264404,0.001412118,949.9336759,1.702,failed,3.634101659,15.29968538
74,1.164683612,0.983327395,0.381871129,0.159359601,0.081557811,0.001317498,1007.687894,1.356,failed,3.190892816,6.252080124
75,1.042587687,1.080617213,0.382098457,0.192227881,0.074377978,0.001304634,654.8541435,1.086,failed,3.097190022,32.93578261
76,1.154954818,1.052973858,0.291799865,0.156975319,0.082867996,0.001427069,807.8985571,1.333,failed,3.186831594,29.81319493
77,1.392115917,1.036636168,0.375806618,0.193867584,0.034677467,0.001385307,1087.086079,1.937,failed,3.376619577,7.394811185
78,1.416087,1.029407084,0.333265788,0.132829671,0.062015959,0.001477339,501.3792264,2.005,failed,3.254643202,38.99863878
79,1.37781055,1.070542863,0.34182039,0.166989972,0.055945098,0.001476143,765.9554424,1.898,failed,3.209869504,28.08298737
80,0.970146285,0.987487071,0.329968715,0.102280132,0.065047697,0.001361073,549.7802573,0.941,failed,2.91572392,32.43255341
81,1.031912293,0.96543763,0.368618275,0.114199982,0.048415603,0.001422797,955.9018187,1.064,failed,3.247351944,6.657948057
82,1.260500521,1.041313038,0.277923808,0.186160346,0.085400394,0.001486113,857.0638812,1.588,failed,3.235775232,27.36631721
83,1.498777207,1.050745347,0.256409589,0.19478244,0.033756795,0.001469903,1060.587866,2.246,failed,3.633983731,12.58540567
84,0.922827299,1.084827261,0.257208686,0.172282823,0.057486195,0.001491691,893.9222237,0.851,failed,2.932367802,4.829089953
85,1.034440644,1.067834989,0.261556619,0.131611103,0.050499045,0.001321514,422.5920474,1.07,failed,3.021394551,36.70949146
86,1.480698901,0.910170304,0.25930786,0.181739326,0.042774462,0.001404935,1060.407036,2.192,failed,3.633653313,12.9712185
87,1.43671783,1.097617286,0.363297921,0.136238902,0.085867397,0.001394486,345.8206693,2.064,failed,3.792477831,53.32321895
88,1.26861144,0.941284322,0.307921382,0.174513919,0.070232345,0.001311893,730.3799102,1.609,failed,3.067808092,32.80875928
89,1.536573202,0.936255878,0.343157518,0.146974014,0.044813992,0.001487,117.2248868,2.361,failed,3.130484998,39.68595729
90,1.204446325,0.904871778,0.30783675,0.140187655,0.055834356,0.001465524,35.15744214,1.45,failed,3.792856857,53.51926569
